lon;lat;depth;str1;dip1;rake1;Catalogo;VMM
-73,527;6,602;125,0;355;38;63;SG;0
-73,763;7,098;107,0;143;37;-177;SG;1
-73,507;6,572;91,7;233;66;-64;SG;0
-73,718;6,346;51,3;53;29;-178;SG;1
-73,429;7,060;46,8;317;63;31;SG;1
-73,350;6,419;44,8;188;70;33;SG;0
-73,415;7,060;42,2;118;19;-12;SG;1
-73,936;6,411;41,5;14;38;90;SG;1
-73,715;6,512;40,1;326;24;-11;SG;1
-73,728;6,471;40,1;102;65;62;SG;1
-73,996;6,359;37,0;300;36;-113;SG;1
-73,587;6,346;36,7;248;12;-61;SG;0
-73,724;6,514;32,1;27;26;80;SG;1
-73,360;6,530;32,0;18;88;-142;SGC;0
-73,364;6,533;32,0;18;88;-142;ISC;0
-73,364;6,533;32,0;220;76;52;SG;0
-74,072;6,470;32,0;288;87;-55;SG;1
-73,724;6,569;32,0;61;43;127;SG;1
-73,429;7,189;31,8;136;42;-113;SG;1
-73,465;6,702;30,0;44;25;-70;SG;0
-74,122;6,575;28,8;202;85;59;SG;1
-74,085;6,683;28,8;295;0;8;SG;1
-74,018;6,451;28,6;274;51;-44;SG;1
-73,278;6,618;28,2;296;82;-90;SG;0
-73,742;6,557;28,2;15;25;71;SG;1
-73,330;6,470;28,0;7;41;38;SGC;0
-73,333;6,472;28,0;7;41;38;ISC;0
-73,333;6,472;28,0;184;76;21;SG;0
-73,820;6,399;27,9;268;77;-111;SG;1
-73,798;7,186;27,9;71;44;81;SG;1
-73,868;6,334;27,7;307;61;-67;SG;1
-73,826;7,239;27,0;28;34;-82;SG;1
-73,380;7,087;26,8;53;70;-65;SG;1
-73,888;6,576;26,5;338;68;91;SG;1
-73,855;6,507;26,4;227;62;69;SG;1
-74,070;7,270;24,0;170;48;45;CMT;0
-74,070;7,270;24,0;47;59;128;ISC;0
-73,688;6,346;23,7;20;79;91;SG;1
-74,039;6,647;23,5;42;46;55;SG;1
-73,926;6,798;23,5;10;62;90;SG;1
-74,103;6,544;22,1;332;87;-34;SG;1
-74,142;6,496;21,7;304;85;47;SG;1
-73,527;6,490;21,2;353;69;113;SG;0
-73,913;6,782;21,0;27;46;89;SG;1
-74,131;6,657;19,0;217;31;-83;SG;1
-73,916;6,768;18,5;17;50;87;SG;1
-74,169;6,489;18,2;100;84;29;SG;1
-73,370;7,120;18,1;154;37;-48;SG;1
-73,952;6,332;17,9;4;46;76;SG;1
-73,649;6,534;17,3;40;30;87;SG;1
-73,979;7,186;17,2;104;55;76;SG;1
-73,862;7,067;16,8;12;90;89;SG;1
-73,613;6,780;16,4;129;18;90;SG;1
-74,047;7,219;16,3;332;53;76;SG;1
-74,112;6,511;16,3;214;16;-80;SG;1
-73,758;6,700;16,1;276;48;-65;SG;1
-73,876;6,781;16,0;24;76;-56;SG;1
-73,467;6,691;15,9;42;25;110;SG;0
-73,845;7,191;15,8;31;38;-86;SG;1
-74,100;6,541;15,4;118;78;78;ISC;1
-74,100;6,541;15,4;166;30;-168;SG;1
-73,900;6,590;15,0;207;38;136;CMT;1
-73,900;6,590;15,0;207;38;136;ISC;1
-73,718;6,450;14,9;180;19;0;SG;1
-73,711;6,403;14,5;159;41;75;SG;1
-73,465;6,495;14,0;88;50;-48;SG;0
-73,254;6,411;13,8;25;18;88;ISC;0
-73,539;6,747;13,7;98;53;138;ISC;1
-73,539;6,747;13,7;217;75;65;SG;1
-73,546;6,888;13,6;340;53;16;SG;1
-74,182;7,196;13,5;124;87;46;SG;0
-74,079;6,940;13,3;125;7;145;SG;1
-73,958;6,667;13,1;91;37;60;SG;1
-73,518;6,491;13,0;147;36;-82;SG;0
-73,653;6,372;12,9;128;45;-78;SG;0
-74,076;6,937;12,5;341;25;85;SG;1
-73,260;6,404;12,4;243;52;-23;SG;0
-73,627;6,916;12,3;199;52;48;SG;1
-73,765;7,172;11,8;27;45;82;SG;1
-73,541;6,904;11,7;65;58;108;SG;1
-74,119;6,528;10,6;345;36;69;SG;1
-73,656;7,193;10,3;256;9;-62;SG;1
-74,110;6,520;10,0;178;65;101;SGC;1
-73,760;6,369;10,0;306;14;-55;SG;1
-74,149;6,503;9,8;336;63;-64;SG;1
-73,980;7,051;9,8;219;21;-61;SG;1
-73,543;6,646;8,9;45;41;-40;SG;0
-74,074;6,680;8,7;123;52;11;SG;1
-73,894;7,155;8,4;108;89;-82;SG;1
-73,604;6,821;7,9;265;36;-91;SG;1
-73,280;6,395;7,9;150;46;96;SG;0
-74,039;6,976;7,9;64;73;59;SG;1
-73,559;6,606;7,0;17;78;89;SG;0
-74,065;6,380;6,0;318;48;17;SG;1
-73,789;6,401;6,0;29;26;82;SG;1
-73,801;6,797;6,0;3;30;60;SG;1
-74,134;7,250;5,7;12;48;74;SG;0
-73,551;6,550;5,5;340;20;71;SG;0
-73,775;6,848;5,5;16;13;89;SG;1
-73,717;6,554;4,9;144;63;36;SG;1
-73,965;6,994;4,6;156;56;-66;SG;1
-73,950;6,343;4,1;137;39;15;SG;1
-74,128;6,588;4,0;127;47;-122;ISC;1
-73,807;6,507;4,0;168;57;26;SG;1
-73,957;7,120;4,0;320;51;-17;SG;1
-73,795;6,383;4,0;302;85;-9;SG;1
-73,715;6,876;4,0;271;51;-89;SG;1
-74,076;6,661;4,0;264;41;-90;SG;1
-73,574;6,740;4,0;262;69;-140;SG;1
-73,265;6,398;4,0;259;49;-3;SG;0
-73,915;6,829;4,0;241;23;-89;SG;1
-74,128;6,588;4,0;235;61;-49;SG;1
-74,083;6,632;4,0;232;55;-88;SG;1
-73,984;7,204;4,0;171;14;-69;SG;1
-73,651;6,810;4,0;168;58;42;SG;1
-73,714;6,716;4,0;148;55;9;SG;1
-73,944;7,158;4,0;145;45;81;SG;1
-73,735;6,766;4,0;136;68;43;SG;1
-74,060;6,654;4,0;106;84;-37;SG;1
-74,067;6,646;4,0;105;50;-58;SG;1
-74,114;7,189;4,0;100;56;35;SG;0
-73,528;6,831;4,0;80;44;-83;SG;1
-74,008;7,046;4,0;75;13;89;SG;1
-74,067;6,657;4,0;73;51;-52;SG;1
-74,002;6,947;4,0;64;44;-86;SG;1
-73,533;6,890;4,0;44;76;86;SG;1
-74,033;6,714;4,0;25;67;91;SG;1
-73,751;6,393;4,0;7;65;89;SG;1
-73,629;6,334;4,0;5;67;90;SG;0
-73,449;6,604;3,8;207;20;-88;SG;0
-73,758;7,243;3,1;131;48;62;SG;1
-73,880;6,398;3,1;309;34;-89;SG;1
-74,073;6,666;3,0;114;52;-30;SG;1
-73,512;6,476;2,8;295;89;29;SG;0
-73,803;6,481;2,8;259;69;-89;SG;1
-74,070;6,647;2,7;129;56;-23;SG;1
-73,273;6,395;2,5;105;49;-142;ISC;0
